name,doi,scale,data_type,no_data,measurement unit,url,,,,,,
Minimal Curvature,https://zenodo.org/records/14920365,1000,Int16,32767,m-1,https://s3.opengeohub.org/global/dtm/v3/minic_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/minic_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/minic_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/minic_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/minic_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/minic_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/minic_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Negative Openness,https://zenodo.org/records/14920369,100,UInt16,65535,,https://s3.opengeohub.org/global/dtm/v3/neg.openness_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/neg.openness_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/neg.openness_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/neg.openness_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/neg.openness_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/neg.openness_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/neg.openness_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Positive Openness,https://zenodo.org/records/14920371,100,UInt16,65535,,https://s3.opengeohub.org/global/dtm/v3/pos.openness_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pos.openness_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pos.openness_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pos.openness_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pos.openness_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pos.openness_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pos.openness_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Profile Curvature,https://zenodo.org/records/14920373,1000,Int16,32767,m-1,https://s3.opengeohub.org/global/dtm/v3/pro.curv_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pro.curv_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pro.curv_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pro.curv_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pro.curv_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pro.curv_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/pro.curv_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Ring Curvature,https://zenodo.org/records/14920375,10000,Int16,32767,m-2,https://s3.opengeohub.org/global/dtm/v3/ring.curv_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ring.curv_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ring.curv_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ring.curv_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ring.curv_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ring.curv_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ring.curv_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Shape Index,https://zenodo.org/records/14920377,1000,Int16,32767,,https://s3.opengeohub.org/global/dtm/v3/shpindx_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/shpindx_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/shpindx_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/shpindx_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/shpindx_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/shpindx_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/shpindx_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Slope in Degree,https://zenodo.org/records/14920379,100,UInt16,65535,,https://s3.opengeohub.org/global/dtm/v3/slope.in.degree_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/slope.in.degree_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/slope.in.degree_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/slope.in.degree_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/slope.in.degree_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/slope.in.degree_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/slope.in.degree_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Specific Catchment Area,https://zenodo.org/records/14920381,1000,UInt16,65535,,https://s3.opengeohub.org/global/dtm/v3/spec.catch_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/spec.catch_edtm_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/spec.catch_edtm_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/spec.catch_edtm_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/spec.catch_edtm_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/spec.catch_edtm_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/spec.catch_edtm_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Spherical Standard Deviation of the Normals,https://zenodo.org/records/14920383,100,Int16,32767,,https://s3.opengeohub.org/global/dtm/v3/ssdon_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ssdon_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ssdon_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ssdon_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ssdon_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ssdon_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/ssdon_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Tangential Curvature,https://zenodo.org/records/14920385,1000,Int16,32767,m-1,https://s3.opengeohub.org/global/dtm/v3/tan.curv_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/tan.curv_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/tan.curv_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/tan.curv_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/tan.curv_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/tan.curv_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/tan.curv_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
Topographic Wetness Index,https://zenodo.org/records/14920387,100,Int16,32767,,https://s3.opengeohub.org/global/dtm/v3/twi_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/twi_edtm_m_30m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/twi_edtm_m_60m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/twi_edtm_m_120m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/twi_edtm_m_240m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/twi_edtm_m_480m_s_20000101_20221231_go_epsg.4326_v20241230.tif,https://s3.opengeohub.org/global/dtm/v3/twi_edtm_m_960m_s_20000101_20221231_go_epsg.4326_v20241230.tif
